type	species	x_m	y_m	ht_m	dbh_cm
Stump	PIPO	79.38	28.03	6.91	15.42
Stump	PIPO	16.91	60.73	6.91	15.42
Stump	PIPO	33.04	165.12	6.91	15.42
Stump	PIPO	88.51	163.42	6.91	15.42
Stump	PIPO	81.45	173.12	6.91	15.42
Stump	PIPO	76.02	172.48	6.91	15.42
Stump	PIPO	131.73	157.88	6.91	15.42
Stump	PIPO	39.8	194.5	6.91	15.42
Stump	PIPO	45.03	161.8	6.91	15.42
Stump	PIPO	67	172.9	6.91	15.42
Stump	PIPO	51.54	174.41	6.91	15.42
Tree	PIPO	77.61	100.22	6.91	26.67
Tree	PIPO	106.32	1.38	6.94	17.27
Tree	PIPO	100.44	63.91	6.95	15.24
Stump	PIPO	144.21	12.48	6.99	15.65
Stump	PIPO	182.46	15.15	6.99	15.65
Stump	PIPO	66.91	46.72	6.99	15.65
Stump	PIPO	67.87	80.67	6.99	15.65
Stump	PIPO	61.97	76.3	6.99	15.65
Stump	PIPO	10.08	121.8	6.99	15.65
Stump	PIPO	30.1	118.78	6.99	15.65
Stump	PIPO	82.09	140.27	6.99	15.65
Stump	PIPO	10.33	129.8	6.99	15.65
Stump	PIPO	5.73	139.86	6.99	15.65
Stump	PIPO	26.39	162.82	6.99	15.65
Stump	PIPO	48.16	169.3	6.99	15.65
Stump	PIPO	46.19	168.81	6.99	15.65
Stump	PIPO	55.29	151.24	6.99	15.65
Stump	PIPO	53.02	161.11	6.99	15.65
Stump	PIPO	71.75	161.81	6.99	15.65
Stump	PIPO	73.04	163.03	6.99	15.65
Stump	PIPO	65.33	172.64	6.99	15.65
Stump	PIPO	76.25	153.16	6.99	15.65
Stump	PIPO	87.14	154.11	6.99	15.65
Stump	PIPO	128.8	151.27	6.99	15.65
Stump	PIPO	98.04	180.87	6.99	15.65
Stump	PIPO	57.91	180.81	6.99	15.65
Stump	PIPO	72.97	175.64	6.99	15.65
Stump	PIPO	11	187.75	6.99	15.65
Stump	PIPO	12.64	179.72	6.99	15.65
Stump	PIPO	18.55	181.49	6.99	15.65
Stump	PIPO	18.29	189.24	6.99	15.65
Stump	PIPO	16.42	187.6	6.99	15.65
Stump	PIPO	35.67	161.36	6.99	15.65
Stump	PIPO	69.43	156.76	6.99	15.65
Tree	PIPO	91.94	62	6.99	29.72
Tree	PIPO	185.75	159.55	6.99	16
Stump	PSME	28.32	152.92	7	17.19
Stump	PSME	91.27	176.82	7	17.19
Tree	PIPO	158.69	51.6	7.04	23.11
Stump	PIPO	72.68	24.24	7.06	15.87
Stump	PIPO	145.02	16.68	7.06	15.87
Stump	PIPO	169.99	11.08	7.06	15.87
Stump	PIPO	11.08	42.26	7.06	15.87
Stump	PIPO	8.28	36.88	7.06	15.87
Stump	PIPO	96.03	82.12	7.06	15.87
Stump	PIPO	87.07	100.87	7.06	15.87
Stump	PIPO	91.61	145.08	7.06	15.87
Stump	PIPO	9.21	183.68	7.06	15.87
Stump	POTR	103.88	187.3	7.1	11.31
Tree	PIPO	86.2	42.79	7.12	15.75
Stump	PIPO	65.64	5.45	7.14	16.1
Stump	PIPO	87.97	34.05	7.14	16.1
Stump	PIPO	19.33	86.25	7.14	16.1
Stump	PIPO	21.8	124.77	7.14	16.1
Stump	PIPO	94.01	103.18	7.14	16.1
Stump	PIPO	197.92	185.35	7.14	16.1
Stump	PIPO	85.84	177.38	7.14	16.1
Stump	PIPO	61.23	177.1	7.14	16.1
Stump	PSME	45.41	184.09	7.16	17.6
Stump	PIPO	52.1	39.74	7.18	16.21
Stump	PIPO	68.59	46.61	7.18	16.21
Tree	PIPO	75	11.2	7.18	19.05
Stump	PIPO	72.51	98.4	7.22	16.32
Stump	PIPO	142.14	171.62	7.22	16.32
Stump	PIPO	80.03	178.76	7.22	16.32
Stump	PIPO	5.58	187.19	7.22	16.32
Stump	PIPO	40.69	186.7	7.22	16.32
Stump	POTR	29.02	137.16	7.22	11.54
Stump	PSME	27.82	157.05	7.24	17.8
Stump	PIPO	82.87	1.95	7.29	16.54
Stump	PIPO	140.67	25.17	7.29	16.54
Stump	PIPO	199.71	16.05	7.29	16.54
Stump	PIPO	114.42	58.49	7.29	16.54
Stump	PIPO	69.5	87.71	7.29	16.54
Stump	PIPO	20.51	152.59	7.29	16.54
Stump	PIPO	57.97	173.97	7.29	16.54
Stump	PIPO	78.77	170.35	7.29	16.54
Stump	PIPO	40.71	191.73	7.29	16.54
Stump	PIPO	6.75	186.42	7.29	16.54
Tree	PIPO	175.2	147.64	7.32	19.81
Tree	PIPO	138.54	25	7.34	23.11
Tree	PIPO	34.42	134.03	7.34	20.32
Tree	PIPO	187	167.4	7.34	20.32
Tree	PIPO	127.07	178.46	7.35	19.3
Tree	PIPO	66.83	93.12	7.35	24.64
Stump	PIPO	33.72	47.7	7.37	16.77
Stump	PIPO	13.33	61.26	7.37	16.77
Stump	PIPO	82.88	78.12	7.37	16.77
Stump	PIPO	32.29	78.15	7.37	16.77
Stump	PIPO	25.91	83.17	7.37	16.77
Stump	PIPO	78.79	108.15	7.37	16.77
Stump	PIPO	7.61	146.99	7.37	16.77
Stump	PIPO	20.19	160.64	7.37	16.77
Stump	PIPO	24.4	155.68	7.37	16.77
Stump	PIPO	40.4	169.02	7.37	16.77
Stump	PIPO	51.04	179.87	7.37	16.77
Stump	PIPO	42.87	181.47	7.37	16.77
Stump	PIPO	37.58	175.99	7.37	16.77
Stump	PIPO	49.69	193.67	7.37	16.77
Stump	PIPO	85.23	157.49	7.37	16.77
Stump	PIPO	53.65	175.19	7.37	16.77
Tree	PIPO	80.04	40.34	7.39	30.99
Tree	PIPO	147.68	180.82	7.41	24.64
Stump	PIPO	35.48	0.22	7.44	16.99
Stump	PIPO	45.11	9.76	7.44	16.99
Stump	PIPO	144.94	18.66	7.44	16.99
Stump	PIPO	2.66	64.36	7.44	16.99
Stump	PIPO	42.14	56.14	7.44	16.99
Stump	PIPO	72.57	68.15	7.44	16.99
Stump	PIPO	119.35	85.95	7.44	16.99
Stump	PIPO	63.97	76.59	7.44	16.99
Stump	PIPO	30.19	90.87	7.44	16.99
Stump	PIPO	61.68	177.78	7.44	16.99
Stump	PIPO	10.36	182.31	7.44	16.99
Tree	PIPO	187.23	169.8	7.49	15.24
Tree	PIPO	136.3	36.46	7.49	19.81
Tree	PIPO	91.22	1.22	7.51	14.48
Stump	PIPO	64.09	48.36	7.52	17.21
Stump	PIPO	14.37	59.84	7.52	17.21
Stump	PIPO	78.76	55.01	7.52	17.21
Stump	PIPO	128.11	85.78	7.52	17.21
Stump	PIPO	30.03	85.55	7.52	17.21
Stump	PIPO	25.99	93.97	7.52	17.21
Stump	PIPO	20.06	138.58	7.52	17.21
Stump	PIPO	85.64	153.75	7.52	17.21
Stump	PIPO	197.12	191.91	7.52	17.21
Stump	PIPO	55.28	195.42	7.52	17.21
Stump	PIPO	69.75	177.15	7.52	17.21
Stump	PIPO	20.67	179.05	7.52	17.21
Tree	PIPO	51.2	25	7.55	15.75
Tree	PIPO	125.21	41.93	7.57	16.76
Tree	PIPO	178.41	53.15	7.58	32.51
Tree	PIPO	147.88	135.38	7.59	24.13
Tree	PSME	100.14	103.94	7.59	19.56
Tree	PIPO	129.14	11.37	7.6	20.83
Stump	PIPO	10.95	34.15	7.6	17.44
Stump	PIPO	2.66	64.38	7.6	17.44
Stump	PIPO	90.04	73.52	7.6	17.44
Stump	PIPO	102.65	144.84	7.6	17.44
Stump	PIPO	73.21	157.63	7.6	17.44
Stump	PIPO	127.59	157.53	7.6	17.44
Stump	PIPO	139.12	155.31	7.6	17.44
Stump	PIPO	200	188.29	7.6	17.44
Stump	PIPO	13.62	181.91	7.6	17.44
Stump	PIPO	60.44	174.72	7.6	17.44
Tree	PIPO	41.53	103.88	7.6	23.88
Stump	PIPO	80.47	0.57	7.67	17.66
Stump	PIPO	139.9	24.61	7.67	17.66
Stump	PIPO	159.99	3.69	7.67	17.66
Stump	PIPO	4.81	41.15	7.67	17.66
Stump	PIPO	80.8	50	7.67	17.66
Stump	PIPO	18.28	125.03	7.67	17.66
Stump	PIPO	90.31	145.47	7.67	17.66
Stump	PIPO	96.84	142.44	7.67	17.66
Stump	PIPO	17.9	152.04	7.67	17.66
Stump	PIPO	121.82	160.5	7.67	17.66
Stump	PIPO	82.1	158.93	7.67	17.66
Stump	PIPO	80.75	173.77	7.67	17.66
Stump	PIPO	10.62	191.41	7.67	17.66
Tree	PIPO	168.33	26.89	7.7	16.26
Stump	PIPO	91.66	9.46	7.75	17.89
Stump	PIPO	74.04	72.58	7.75	17.89
Stump	PIPO	85.12	74.43	7.75	17.89
Stump	PIPO	63.73	75.77	7.75	17.89
Stump	PIPO	36.91	118.34	7.75	17.89
Stump	PIPO	104.72	141.26	7.75	17.89
Stump	PIPO	115.06	144.99	7.75	17.89
Stump	PIPO	89.04	145.35	7.75	17.89
Stump	PIPO	7.11	140.53	7.75	17.89
Stump	PIPO	22.11	170.84	7.75	17.89
Stump	PIPO	25.59	159.62	7.75	17.89
Stump	PIPO	37.8	158.51	7.75	17.89
Stump	PIPO	26.14	151.93	7.75	17.89
Stump	PIPO	31.75	171.67	7.75	17.89
Stump	PIPO	75.81	174.49	7.75	17.89
Stump	PIPO	84.88	176.23	7.75	17.89
Stump	PIPO	96.86	183.09	7.75	17.89
Stump	PIPO	89.19	178.2	7.75	17.89
Stump	PIPO	72.82	175.4	7.75	17.89
Stump	PIPO	44.26	181	7.75	17.89
Stump	PIPO	37	188.32	7.75	17.89
Stump	PIPO	39.23	187.28	7.75	17.89
Stump	PIPO	35.64	184.65	7.75	17.89
Stump	PIPO	11.76	179.33	7.75	17.89
Stump	PIPO	16.59	186.75	7.75	17.89
Tree	PIPO	84.74	4.71	7.76	19.05
Tree	PIPO	52.6	102.51	7.79	16.51
Tree	PIPO	7.61	128.63	7.81	17.78
Stump	PIPO	42.77	11.85	7.82	18.11
Stump	PIPO	170.51	13.94	7.82	18.11
Stump	PIPO	30.85	44.13	7.82	18.11
Stump	PIPO	14.33	35.49	7.82	18.11
Stump	PIPO	0	0	7.82	18.11
Stump	PIPO	85.61	78.55	7.82	18.11
Stump	PIPO	101.99	142.46	7.82	18.11
Stump	PIPO	116.14	145.29	7.82	18.11
Stump	PIPO	10.46	125.4	7.82	18.11
Stump	PIPO	24.88	178.81	7.82	18.11
Stump	PIPO	63.01	166.29	7.82	18.11
Tree	PIPO	76.28	151.55	7.85	13.46
Stump	PIPO	106.6	45.56	7.9	18.33
Stump	PIPO	28.51	35.42	7.9	18.33
Stump	PIPO	10.37	120.08	7.9	18.33
Stump	PIPO	31.72	103.4	7.9	18.33
Stump	PIPO	17.52	155.06	7.9	18.33
Stump	PIPO	100.63	171.19	7.9	18.33
Stump	PIPO	129.96	158.96	7.9	18.33
Stump	PIPO	76.42	168.01	7.9	18.33
Tree	PIPO	16.55	18.06	7.9	12.45
Stump	PIPO	56.13	45.68	7.94	18.45
Tree	PIPO	50.08	92.95	7.96	20.32
Stump	PIPO	36.42	48.62	7.97	18.56
Stump	PIPO	9.64	58.41	7.97	18.56
Stump	PIPO	4.9	60.36	7.97	18.56
Stump	PIPO	112.1	67.88	7.97	18.56
Stump	PIPO	115.92	76.64	7.97	18.56
Stump	PIPO	96.98	77.43	7.97	18.56
Stump	PIPO	12.04	168.39	7.97	18.56
Stump	PIPO	13.95	167.86	7.97	18.56
Stump	PIPO	128.76	151.17	7.97	18.56
Stump	PIPO	63.22	176.62	7.97	18.56
Stump	PIPO	8.41	177.52	7.97	18.56
Stump	PIPO	8.78	182.82	7.97	18.56
Stump	PIPO	6.22	182.03	7.97	18.56
Tree	PIPO	89.08	63.55	7.97	32.77
Tree	PIPO	97.47	63.72	8.01	10.67
Tree	PIPO	13.65	137.46	8.02	15.49
Tree	PIPO	101.25	150.57	8.02	21.34
Tree	PIPO	64.64	100.59	8.03	22.35
Tree	PIPO	101.96	37.93	8.03	23.62
Tree	PIPO	96.86	193.8	8.03	16.76
Stump	PIPO	35.27	50.04	8.05	18.78
Stump	PIPO	0	0	8.05	18.78
Stump	PIPO	55.92	51.56	8.05	18.78
Stump	PIPO	81.6	57.54	8.05	18.78
Stump	PIPO	65.36	78.52	8.05	18.78
Stump	PIPO	21.18	113.28	8.05	18.78
Stump	PIPO	112.68	142.58	8.05	18.78
Stump	PIPO	33	167.15	8.05	18.78
Stump	POTR	146.37	177.81	8.05	13.13
Tree	PIPO	72.83	101.76	8.07	18.03
Tree	PIPO	102.76	62.75	8.11	21.84
Tree	PIPO	90.21	6.49	8.12	16.51
Stump	PIPO	64.42	4.33	8.13	19
Stump	PIPO	70.12	21.28	8.13	19
Stump	PIPO	143.9	7.98	8.13	19
Stump	PIPO	20.89	63.77	8.13	19
Stump	PIPO	150.22	71.62	8.13	19
Stump	PIPO	130.53	78.84	8.13	19
Stump	PIPO	92.95	79.08	8.13	19
Stump	PIPO	63.98	97.64	8.13	19
Stump	PIPO	32.55	121.94	8.13	19
Stump	PIPO	190.32	140.27	8.13	19
Stump	PIPO	114.37	137.58	8.13	19
Stump	PIPO	6.08	148.69	8.13	19
Stump	PIPO	72.75	166.35	8.13	19
Stump	PIPO	99.96	155.44	8.13	19
Stump	PIPO	122.17	159.05	8.13	19
Stump	PIPO	150.62	164.85	8.13	19
Stump	PIPO	93.51	183.4	8.13	19
Stump	PIPO	35.65	187.26	8.13	19
Stump	PIPO	47.02	184.53	8.13	19
Stump	PIPO	5.72	179.75	8.13	19
Stump	PIPO	7.79	190.16	8.13	19
Tree	PIPO	110.86	69.12	8.15	16.76
Tree	PIPO	145.53	16.57	8.15	23.11
Tree	PIPO	17.66	132.75	8.15	19.81
Tree	PIPO	96.31	143.59	8.16	20.83
Stump	PIPO	66.56	36.72	8.2	19.23
Stump	PIPO	29.67	46.24	8.2	19.23
Stump	PIPO	14.85	62.5	8.2	19.23
Stump	PIPO	127.58	84.58	8.2	19.23
Stump	PIPO	28.09	79.94	8.2	19.23
Stump	PIPO	10.97	127.92	8.2	19.23
Stump	PIPO	11.25	142.26	8.2	19.23
Stump	PIPO	17.39	165.49	8.2	19.23
Stump	PIPO	52.97	188.29	8.2	19.23
Stump	PIPO	57.86	194.76	8.2	19.23
Stump	PIPO	25.44	189.22	8.2	19.23
Tree	PIPO	12.03	196.44	8.21	19.3
Tree	PSME	99.23	103.45	8.24	19.81
Tree	PIPO	166.73	125	8.27	29.72
Stump	PIPO	8.95	63.84	8.28	19.45
Stump	PIPO	118.11	63.01	8.28	19.45
Stump	PIPO	196.04	51.8	8.28	19.45
Stump	PIPO	98.28	75.16	8.28	19.45
Stump	PIPO	28.08	79.95	8.28	19.45
Stump	PIPO	20.68	86.89	8.28	19.45
Stump	PIPO	192.92	139.51	8.28	19.45
Stump	PIPO	87.26	154.32	8.28	19.45
Stump	PIPO	117.58	157.42	8.28	19.45
Stump	PIPO	64.26	176.3	8.28	19.45
Stump	PIPO	72.89	174.21	8.28	19.45
Stump	PIPO	84.39	163.97	8.28	19.45
Stump	PIPO	38.03	195.45	8.28	19.45
Tree	PIPO	110.01	7.27	8.31	22.61
Stump	PIPO	51.72	40.84	8.32	19.56
Stump	PIPO	55.36	39.57	8.32	19.56
Stump	PIPO	7.74	55.56	8.35	19.68
Stump	PIPO	80.59	82.34	8.35	19.68
Stump	PIPO	25.93	83.93	8.35	19.68
Stump	PIPO	22.36	152.86	8.35	19.68
Stump	PIPO	134.64	157.05	8.35	19.68
Stump	PIPO	76.61	179.42	8.35	19.68
Stump	PIPO	21.33	181.89	8.35	19.68
Tree	PIPO	111.56	7.71	8.36	19.05
Stump	PSME	62.64	187.29	8.36	20.63
Tree	PIPO	183.96	181.72	8.37	19.05
Tree	PIPO	165.93	47.67	8.39	33.27
Tree	PIPO	16.57	0.38	8.39	21.08
Tree	PIPO	43.26	70.42	8.4	17.53
Stump	PIPO	64.25	21.05	8.43	19.9
Stump	PIPO	143.4	15.16	8.43	19.9
Stump	PIPO	4.89	41.09	8.43	19.9
Stump	PIPO	56.06	55.44	8.43	19.9
Stump	PIPO	63.65	86.09	8.43	19.9
Stump	PIPO	163.23	158.49	8.43	19.9
Stump	PIPO	0	0	8.43	19.9
Stump	PIPO	178.16	161.72	8.43	19.9
Stump	PIPO	56.14	185.68	8.43	19.9
Stump	PIPO	12.39	188.67	8.43	19.9
Stump	PIPO	22.95	183.49	8.43	19.9
Stump	PIPO	6.23	189.25	8.43	19.9
Stump	PIPO	63.44	48.56	8.51	20.12
Stump	PIPO	61.6	50	8.51	20.12
Stump	PIPO	28.66	85.52	8.51	20.12
Stump	PIPO	22.64	159.94	8.51	20.12
Stump	PIPO	8.69	164.4	8.51	20.12
Stump	PIPO	15.24	172.09	8.51	20.12
Stump	PIPO	49.45	167.5	8.51	20.12
Stump	PIPO	50.36	157.73	8.51	20.12
Stump	PIPO	194.66	186.72	8.51	20.12
Stump	PIPO	77.05	178.5	8.51	20.12
Stump	PIPO	45.1	175.91	8.51	20.12
Stump	PIPO	22.05	185.85	8.51	20.12
Stump	PIPO	28.27	188.12	8.51	20.12
Stump	PIPO	37.57	144.2	8.51	20.12
Stump	PIPO	92.63	161.54	8.51	20.12
Stump	PIPO	39.61	191.63	8.51	20.12
Stump	PIPO	36.58	187.25	8.51	20.12
Tree	PIPO	8.16	136.07	8.53	19.56
Tree	PIPO	80.14	50.92	8.53	29.46
Tree	PIPO	94.93	22.22	8.55	24.13
Tree	PIPO	84.91	60.7	8.55	26.16
Stump	PIPO	84.09	2.06	8.58	20.35
Stump	PIPO	141.77	13.82	8.58	20.35
Stump	PIPO	107.53	142.48	8.58	20.35
Stump	PIPO	165.86	171.43	8.58	20.35
Stump	PIPO	25.9	179.75	8.58	20.35
Tree	PIPO	163.96	33.39	8.58	21.34
Tree	PIPO	63.12	86.73	8.6	17.78
Stump	PSME	197.73	157.69	8.6	21.23
Tree	PIPO	28.06	145.99	8.63	14.99
Tree	PIPO	109.16	195.3	8.63	19.56
Tree	PIPO	124.67	89.88	8.64	22.35
Tree	PIPO	126.93	82.35	8.65	20.83
Stump	PIPO	185.67	14.42	8.66	20.57
Stump	PIPO	52.2	153.68	8.66	20.57
Stump	PIPO	129.44	153.81	8.66	20.57
Stump	PIPO	71.06	160.78	8.66	20.57
Stump	PIPO	78.35	180.93	8.66	20.57
Tree	PIPO	199.88	78.41	8.66	33.27
Tree	PIPO	125.37	133.41	8.7	20.07
Stump	PIPO	29.22	30.82	8.73	20.8
Stump	PIPO	98.74	132.58	8.73	20.8
Stump	PIPO	91.92	128.97	8.73	20.8
Stump	PIPO	100.62	175.45	8.73	20.8
Stump	PIPO	65.13	175.79	8.73	20.8
Stump	PIPO	88.09	160.79	8.73	20.8
Stump	PIPO	15.11	179.05	8.73	20.8
Tree	PIPO	82.46	150	8.79	18.8
Tree	PIPO	79.32	153.17	8.79	20.57
Stump	PIPO	0	0	8.81	21.02
Stump	PIPO	41.91	101.51	8.81	21.02
Stump	PIPO	39.68	192.94	8.81	21.02
Stump	PIPO	31.32	186.59	8.81	21.02
Tree	PIPO	71.11	91.79	8.82	19.81
Tree	PIPO	145.5	30.92	8.83	19.3
Tree	PIPO	43.07	98.72	8.85	20.83
Stump	PSME	41.64	165.25	8.85	21.84
Tree	PIPO	155.83	41.2	8.86	34.04
Tree	PIPO	37.55	153.5	8.86	17.27
Tree	PIPO	163.92	29.88	8.87	20.83
Stump	PIPO	68.9	45.06	8.89	21.24
Stump	PIPO	57.37	69.1	8.89	21.24
Stump	PIPO	82.73	53.49	8.89	21.24
Stump	PIPO	115.72	77.97	8.89	21.24
Stump	PIPO	66.29	95.25	8.89	21.24
Stump	PIPO	125.49	139.67	8.89	21.24
Stump	PIPO	31.58	162.43	8.89	21.24
Stump	PIPO	89.55	177.25	8.89	21.24
Stump	PIPO	65.07	177.58	8.89	21.24
Tree	PIPO	160.52	71.56	8.92	22.86
Stump	PIPO	0	0	8.96	21.47
Stump	PIPO	94.67	77.07	8.96	21.47
Stump	PIPO	97.09	132.61	8.96	21.47
Stump	PIPO	71.16	169.73	8.96	21.47
Stump	PIPO	58.45	189.63	8.96	21.47
Stump	PIPO	72.81	177.28	8.96	21.47
Tree	PIPO	42.49	100.09	9	20.83
Stump	PIPO	5.64	91.97	9.04	21.69
Tree	PIPO	83.38	161.37	9.05	17.27
Tree	PIPO	16.09	120.75	9.07	22.61
Tree	PIPO	81.41	103.76	9.09	23.37
Tree	PIPO	103.28	59.97	9.09	21.34
Tree	PIPO	1.22	29.44	9.09	16.76
Tree	PIPO	100.11	45.77	9.1	19.81
Stump	PIPO	69.82	50	9.11	21.91
Stump	PIPO	119.87	149.11	9.11	21.91
Tree	PIPO	25.24	2.6	9.12	21.84
Tree	PIPO	167.37	31.63	9.13	25.65
Tree	PIPO	72.49	96.95	9.16	21.34
Tree	PIPO	192.52	14.5	9.17	26.67
Stump	PIPO	58.97	50.77	9.19	22.14
Stump	PIPO	10.74	91.1	9.19	22.14
Stump	PIPO	33.1	157.96	9.19	22.14
Stump	PIPO	8.07	194.3	9.19	22.14
Tree	PIPO	112.89	40.04	9.19	26.92
Tree	PIPO	119.53	100.75	9.19	35.05
Tree	PIPO	144.01	9.11	9.2	23.11
Tree	PIPO	22.59	113.63	9.22	19.56
Tree	PIPO	84.55	0.35	9.23	16.76
Tree	PIPO	121.87	54.57	9.23	22.61
Tree	PIPO	10.84	115.26	9.25	17.27
Stump	PIPO	70.52	18.03	9.27	22.36
Stump	PIPO	53.99	36.53	9.27	22.36
Stump	PIPO	60.44	51.8	9.27	22.36
Stump	PIPO	91.86	76.09	9.27	22.36
Stump	PIPO	8.19	144.4	9.27	22.36
Stump	PIPO	24.53	158.54	9.27	22.36
Stump	PIPO	50.11	165.95	9.27	22.36
Stump	PIPO	59.96	175.95	9.27	22.36
Stump	PIPO	117.3	154.64	9.27	22.36
Stump	PIPO	126.82	162.97	9.27	22.36
Stump	PIPO	52.74	180.46	9.27	22.36
Stump	PIPO	51.23	192.56	9.27	22.36
Stump	PIPO	35.21	195.31	9.27	22.36
Tree	PIPO	110.32	17.05	9.28	24.13
Tree	PIPO	61.42	46.47	9.33	21.34
Tree	PIPO	9.17	133.82	9.34	18.54
Stump	PIPO	75	25.03	9.34	22.59
Stump	PIPO	15.86	52.91	9.34	22.59
Stump	PIPO	81.75	80.31	9.34	22.59
Tree	PIPO	178.47	28	9.35	13.97
Stump	PIPO	53.96	36.76	9.42	22.81
Stump	PIPO	25.78	88.53	9.42	22.81
Stump	PIPO	42.18	189.57	9.42	22.81
Stump	PIPO	37.99	175.95	9.42	22.81
Tree	PIPO	82.33	31.65	9.44	19.56
Tree	PIPO	198.69	15.62	9.48	20.32
Tree	PIPO	137.67	15.1	9.49	19.56
Stump	PIPO	78.69	57.63	9.49	23.03
Stump	PIPO	64.61	84.24	9.49	23.03
Stump	PIPO	25.57	86.65	9.49	23.03
Stump	PIPO	19.9	80.89	9.49	23.03
Stump	PIPO	1.28	150.97	9.49	23.03
Tree	PIPO	59.18	151.19	9.5	26.67
Tree	PIPO	120.46	200	9.51	26.16
Tree	PIPO	116.32	76	9.53	27.69
Stump	PIPO	117.96	76.26	9.57	23.26
Stump	PIPO	188.12	145.68	9.57	23.26
Stump	PIPO	72.91	164.6	9.57	23.26
Tree	PIPO	7.58	113.07	9.59	28.19
Tree	PIPO	7.31	136.34	9.62	18.03
Tree	PIPO	140.64	24.18	9.62	22.1
Tree	PIPO	29.56	35.55	9.63	25.65
Tree	PIPO	183.31	16.44	9.63	26.16
Tree	PIPO	73.32	155.43	9.64	22.35
Tree	PIPO	8.25	125.3	9.64	24.38
Tree	PIPO	44	77.47	9.64	22.86
Stump	PIPO	6.92	66.06	9.65	23.48
Stump	PIPO	111.94	76.23	9.65	23.48
Stump	PIPO	27.6	168.76	9.65	23.48
Stump	PIPO	21.82	151.72	9.65	23.48
Stump	PIPO	21.29	154.25	9.65	23.48
Stump	PIPO	50.06	189.12	9.65	23.48
Tree	PIPO	120.02	83.34	9.66	20.83
Tree	PIPO	38.8	77.36	9.7	17.53
Stump	PIPO	26.26	43.55	9.72	23.71
Tree	PIPO	37.72	119.36	9.74	19.81
Tree	PIPO	83.84	48.63	9.74	24.38
Stump	PIPO	75.83	51.37	9.8	23.93
Stump	PIPO	25.83	92.03	9.8	23.93
Stump	PIPO	37.9	105.45	9.8	23.93
Stump	PIPO	91.41	166.99	9.8	23.93
Stump	PIPO	53.66	173.65	9.8	23.93
Stump	PIPO	84.54	167.57	9.8	23.93
Tree	PIPO	96.44	51.39	9.8	24.64
Stump	PSME	53.11	170.27	9.81	24.26
Tree	PIPO	167.38	128.76	9.82	27.18
Stump	POTR	105.64	179.1	9.83	16.54
Tree	PIPO	199.86	4.79	9.87	19.3
Tree	PIPO	143.26	27.79	9.87	25.65
Stump	PIPO	51.89	168.59	9.87	24.15
Stump	PIPO	57.21	194.29	9.87	24.15
Stump	PIPO	47.73	177.91	9.87	24.15
Stump	PIPO	21.65	186.27	9.87	24.15
Tree	PIPO	96.92	120.02	9.87	29.21
Tree	PIPO	8.11	125.48	9.89	26.16
Tree	PIPO	147.67	55.32	9.91	34.04
Tree	PIPO	22.14	157.97	9.94	20.32
Stump	PIPO	57.69	52.88	9.95	24.38
Stump	PIPO	67.87	79.19	9.95	24.38
Tree	PIPO	177.23	65.67	9.95	38.61
Tree	PIPO	33.91	1.89	9.98	24.38
Tree	PIPO	163.53	129.93	10.02	32.77
Tree	PIPO	8.25	106.33	10.02	24.64
Stump	PIPO	59.99	75.8	10.03	24.6
Stump	PIPO	188.06	115.79	10.03	24.6
Stump	PIPO	33.98	163.93	10.03	24.6
Stump	PIPO	57.09	151.99	10.03	24.6
Stump	PIPO	93.84	190.75	10.03	24.6
Stump	PIPO	97.93	180.97	10.03	24.6
Stump	PIPO	40.14	167.91	10.03	24.6
Stump	PIPO	44.33	191.68	10.03	24.6
Tree	PIPO	90	47.75	10.05	22.86
Tree	PIPO	69.69	81.67	10.05	23.37
Tree	PIPO	11.04	59.29	10.06	20.32
Tree	PIPO	81.69	41.39	10.06	24.38
Tree	PIPO	106.47	59.88	10.07	21.59
Tree	PIPO	34.26	121.3	10.1	18.29
Tree	PIPO	96.3	68.32	10.12	23.11
Tree	PIPO	29.02	117.69	10.15	26.67
Tree	PIPO	118.24	81.14	10.17	21.59
Tree	PIPO	97.98	67.31	10.18	19.56
Stump	PIPO	55.35	43.04	10.18	25.05
Stump	PIPO	54.29	53.27	10.18	25.05
Stump	PIPO	148.64	163.48	10.18	25.05
Stump	PIPO	59.54	157.21	10.18	25.05
Tree	PIPO	34.39	115.87	10.18	26.16
Tree	PIPO	100.17	126.92	10.18	22.1
Stump	POTR	107.39	177.15	10.19	17.22
Tree	PIPO	139.74	16.43	10.2	19.3
Tree	PIPO	150.08	36.14	10.24	16
Tree	PIPO	196.86	15.94	10.24	23.88
Tree	PIPO	29.57	95.8	10.24	23.88
Stump	PIPO	7.85	192.72	10.25	25.27
Stump	PIPO	94.7	166.41	10.25	25.27
Stump	PIPO	52.93	179.25	10.25	25.27
Tree	PIPO	165.95	155.9	10.25	23.88
Tree	PIPO	110.22	59.4	10.29	22.86
Tree	PIPO	117.58	143.27	10.31	20.83
Stump	POTR	108.54	172.95	10.31	17.44
Stump	PIPO	193.99	162.76	10.33	25.5
Stump	PIPO	14.94	191.83	10.33	25.5
Tree	PIPO	153.79	41.97	10.33	26.67
Tree	PIPO	91.34	72.32	10.33	24.89
Tree	PIPO	17.42	9.82	10.33	21.84
Tree	PIPO	22.15	164.6	10.38	16.76
Tree	PIPO	150.58	36	10.4	26.42
Tree	PIPO	139.05	22.67	10.41	24.13
Stump	PIPO	45.61	190.93	10.41	25.72
Stump	PIPO	46.33	181.04	10.41	25.72
