type	species	x_m	y_m	ht_m	dbh_cm
Stump	PIPO	125.87	160.86	2.51	2.44
Stump	PIPO	149.93	168.99	2.51	2.44
Tree	PIPO	195.32	120.83	2.53	4.06
Tree	PIPO	165.45	128.23	2.54	12.95
Tree	PIPO	58.02	137.89	2.54	4.32
Tree	PIPO	123.7	10.7	2.55	10.41
Tree	PIPO	191.79	116.91	2.58	1.52
Stump	PIPO	17.98	10.09	2.58	2.67
Stump	PIPO	100.18	65	2.58	2.67
Stump	PIPO	64.37	106.19	2.58	2.67
Stump	PIPO	184.43	137.07	2.58	2.67
Stump	PIPO	132.06	128.23	2.58	2.67
Stump	PIPO	5.17	139.69	2.58	2.67
Stump	PIPO	63.1	158.22	2.58	2.67
Stump	PIPO	63.74	174.99	2.58	2.67
Stump	PIPO	78.87	165.52	2.58	2.67
Stump	PIPO	120.07	154.97	2.58	2.67
Stump	PIPO	199.3	177.94	2.58	2.67
Stump	PIPO	47.55	168.13	2.58	2.67
Stump	PSME	19.2	158.63	2.58	6.08
Stump	PSME	46.5	184.98	2.58	6.08
Tree	PIPO	181.95	185.75	2.59	6.1
Stump	POTR	12.72	155.19	2.59	2.68
Stump	POTR	151.45	177.56	2.59	2.68
Stump	POTR	152.09	178.88	2.59	2.68
Stump	POTR	144.58	178.84	2.59	2.68
Tree	PIPO	25	23.07	2.6	3.3
Tree	PIPO	153.75	139.72	2.6	7.62
Tree	POTR	112.8	177.26	2.6	1.52
Tree	POTR	114.17	175.99	2.6	1.02
Tree	POTR	118.42	177.59	2.6	1.27
Tree	POTR	118.34	176.44	2.6	2.03
Stump	PIPO	150.63	42.11	2.66	2.89
Stump	PIPO	1.74	74.84	2.66	2.89
Stump	PIPO	33.75	84.12	2.66	2.89
Stump	PIPO	48.07	158.63	2.66	2.89
Stump	PIPO	61.76	164.32	2.66	2.89
Stump	PIPO	101.47	172.73	2.66	2.89
Stump	PIPO	133.86	153.83	2.66	2.89
Stump	PIPO	151.77	188.7	2.66	2.89
Stump	PIPO	135.96	190.03	2.66	2.89
Tree	POTR	14.93	142.86	2.7	3.56
Tree	POTR	16.85	141.16	2.7	2.03
Stump	POTR	112.49	174.2	2.7	2.91
Stump	POTR	113.16	176.4	2.7	2.91
Stump	POTR	113.98	167.89	2.7	2.91
Stump	POTR	114.08	167.38	2.7	2.91
Stump	POTR	152.33	180.26	2.7	2.91
Stump	POTR	140.58	178.31	2.7	2.91
Stump	PIPO	25.3	0	2.74	3.11
Stump	PIPO	121.08	26.33	2.74	3.11
Stump	PIPO	9.3	137.48	2.74	3.11
Stump	PIPO	118.77	154.06	2.74	3.11
Stump	PIPO	162.58	194.74	2.74	3.11
Stump	PIPO	26.24	188.72	2.74	3.11
Stump	PIPO	103.49	155.37	2.74	3.11
Tree	PIPO	14.29	97.17	2.78	3.56
Stump	PIPO	25.8	0	2.81	3.34
Stump	PIPO	70.81	47.24	2.81	3.34
Stump	PIPO	62.74	36.55	2.81	3.34
Stump	PIPO	112.19	84.02	2.81	3.34
Stump	PIPO	79.4	108.95	2.81	3.34
Stump	PIPO	66.57	173.92	2.81	3.34
Stump	PIPO	82.88	171.41	2.81	3.34
Stump	PIPO	165.41	170.09	2.81	3.34
Stump	PIPO	22.84	182.64	2.81	3.34
Stump	PIPO	22.79	184.3	2.81	3.34
Stump	PIPO	90.29	183.13	2.81	3.34
Tree	PIPO	113.81	7.28	2.82	11.18
Stump	POTR	40.27	139.69	2.82	3.14
Stump	POTR	112.3	173.62	2.82	3.14
Stump	POTR	111.71	174.77	2.82	3.14
Stump	POTR	146.99	181.47	2.82	3.14
Stump	POTR	146.64	180.84	2.82	3.14
Tree	PIPO	42.96	112.02	2.84	5.59
Stump	PIPO	87.97	32.25	2.89	3.56
Stump	PIPO	126.08	130.93	2.89	3.56
Stump	PIPO	69.92	165.5	2.89	3.56
Stump	PIPO	147.19	192.15	2.89	3.56
Stump	PIPO	59.64	159.81	2.89	3.56
Tree	PIPO	43.91	114.1	2.92	3.3
Stump	POTR	103.41	161.44	2.94	3.36
Stump	POTR	111.79	174.29	2.94	3.36
Stump	POTR	113.7	175.56	2.94	3.36
Stump	PIPO	169.52	31.61	2.96	3.79
Stump	PIPO	22.42	87.89	2.96	3.79
Stump	PIPO	71.89	157.45	2.96	3.79
Stump	PIPO	121.16	163.9	2.96	3.79
Stump	PIPO	72.96	138.96	2.96	3.79
Tree	PIPO	69.04	87.23	2.98	7.87
