"","site","x","y","z","dbh","height","species","crownArea","crownCentroidX","crownCentroidY","crownVectorLen","crownVectorDir"
"147",5,-0.093,26.92,0.314,25,13.27,"Betula pubescens",10.9694105,0.306694103,26.47883429,0.595300395,137.8235672
"148",5,1.112,30.726,0.426,33.5,15.688,"Picea abies",10.092647,0.848175123,30.13310851,0.64894059,203.9881091
"149",6,0.261,11.155,0.367,19.7,13.127,"Betula pubescens",18.987708,-0.759337848,11.30910304,1.031909431,278.5885508
"150",6,1.427,12.471,0.175,10.4,9.046,"Betula pubescens",3.255234,2.020010217,12.41054253,0.596084074,95.82120003
"151",6,2.332,14.759,0.357,14.5,10.706,"Betula pubescens",4.393155,2.148266626,14.1821334,0.60541971,197.6668001
"152",6,3.999,13.975,0.318,15.2,10.318,"Picea abies",4.6517015,4.001233677,13.78692449,0.188088777,179.3195591
"153",6,5.814,15.369,0.404,34.4,19.816,"Pinus sylvestris",18.277302,5.987385917,15.63314747,0.315969241,33.28082181
"154",6,7.382,15.99,0.244,24.4,14.9,"Picea abies",6.6878385,7.431991195,16.45069427,0.463398672,6.19308973
"155",6,3.416,4.356,0.205,15.2,4.909,"Betula pubescens",1.6381685,4.490136613,4.533770784,1.088747866,80.60266753
"156",6,6.001,6.319,0.141,16.9,13.561,"Picea abies",5.0815105,6.012310241,6.374491095,0.056631998,11.52027406
"157",6,9.194,5.537,-0.009,18.5,14.524,"Picea abies",5.293344,9.556780385,5.271357502,0.449639349,126.2130996
"158",6,5.807,2.999,0.01,15.2,13.391,"Picea abies",4.860862,6.199683343,2.93581039,0.397735006,99.14152456
"159",6,3.82,-0.066,-0.069,10.2,7.279,"Betula pubescens",3.88436,3.915386917,-0.916909343,0.856239087,173.6038475
"160",6,11.075,-1.685,-0.264,16.5,10.64,"Betula pubescens",9.226714,10.39520134,-0.740744838,1.16350506,324.2487127
"161",6,10.925,6.917,-0.186,14,8.475,"Betula pubescens",8.109183,11.33089179,6.081540169,0.92883867,154.0881089
"162",6,13.306,12.476,0.061,20.6,13.877,"Pinus sylvestris",5.5134745,12.91162685,12.75662353,0.484024533,305.4344586
"163",6,15.205,10.882,0.286,41.3,18.435,"Pinus sylvestris",28.182922,14.85485927,10.57875201,0.463203924,229.1049952
"164",6,15.618,8.45,-0.209,13.8,9.412,"Picea abies",4.054175,15.64060368,8.229283514,0.221870893,174.1526983
"165",6,18.133,5.563,-0.384,24,16.696,"Pinus sylvestris",5.8893555,18.12594823,5.463582224,0.099667555,184.0572339
"166",6,18.894,4.609,-0.461,20.9,14.25,"Pinus sylvestris",4.3328275,19.09664364,4.59837296,0.202922097,93.00195608
"167",6,18.429,9.607,-0.315,18.9,14.25,"Picea abies",5.172351,18.37575248,8.916213493,0.692835692,184.4077832
"168",6,21.137,3.48,-0.54,15.1,11.89,"Picea abies",4.9520245,21.05856039,3.446209633,0.085408204,246.6944957
"169",6,28.596,1.999,-0.388,16.9,15.303,"Picea abies",3.662396,28.75578162,1.951940281,0.166567655,106.4110313
"170",6,27.984,8.741,-0.222,23.7,18.518,"Pinus sylvestris",6.7781075,27.91159957,8.007770847,0.736794959,185.6392133
"171",6,27.737,13.73,-0.127,38.7,22.102,"Pinus sylvestris",16.4074165,27.81844574,13.67288758,0.099474806,125.0393965
"172",6,28.903,10.007,-0.526,15.5,10.898,"Pinus sylvestris",0.6170275,28.77263041,10.16619853,0.205767841,320.6855408
"173",6,32.73,8.975,-0.598,36.5,20.953,"Pinus sylvestris",32.493588,32.95216836,8.105308191,0.897620533,165.6698965
"174",6,29.709,11.831,-0.533,12.5,10.768,"Pinus sylvestris",1.099917,29.56373743,11.77189646,0.156826155,247.859878
"175",6,29.972,14.432,-0.454,16.8,18.043,"Pinus sylvestris",2.2321085,30.13481066,14.4889343,0.172478483,70.72545162
"176",6,20.457,12.227,-0.149,31.6,18.652,"Pinus sylvestris",11.482472,20.40820012,11.95767733,0.273708106,190.2702704
"177",6,31.332,17.669,-0.206,20.1,16.955,"Pinus sylvestris",3.709694,31.22758675,17.57095588,0.143229806,226.8018791
"178",6,30.501,19.802,-0.202,19,16.085,"Pinus sylvestris",4.401105,30.26214591,19.83166474,0.240689161,277.0796591
"179",6,26.619,20.583,-0.373,24,15.885,"Picea abies",9.5343415,26.17268681,20.51181478,0.451954419,260.9378745
"180",6,23.102,15.203,-0.52,13.8,12.703,"Picea abies",9.31304,23.73265309,15.029996,0.653952368,105.340297
"181",6,22.028,14.954,-0.42,28,20.511,"Pinus sylvestris",11.3924975,22.72287686,15.65236177,0.985171565,44.85668618
"182",6,21.699,14.94,-0.336,17.5,13.559,"Picea abies",10.8026155,21.49379065,14.62461693,0.376267671,213.0507239
"183",6,19.978,18.038,-0.396,13.3,10.159,"Picea abies",4.102798,19.75753172,17.92536395,0.247574523,242.9377568
"184",6,19.908,24.751,-0.199,11.2,7.014,"Picea abies",4.3360395,19.86924015,24.45886097,0.294699063,187.5576378
"185",6,14.83,29.875,0.253,18.8,12.271,"Betula pubescens",15.063098,14.63156955,29.48389638,0.438562063,206.9014277
"186",6,10.115,31.109,0.51,16.6,10.274,"Betula pubescens",10.7436665,9.660878909,31.11839653,0.454218296,271.1853771
"187",6,7.968,23.466,0.433,44.5,20.216,"Pinus sylvestris",29.9312215,7.71191429,23.577799,0.279426033,293.5845746
"188",6,6.161,24.389,0.452,27.5,20.922,"Pinus sylvestris",8.5084995,5.082573704,24.58663034,1.096385437,280.3846867
"189",6,6.792,21.08,0.09,11,2.035,"Betula pubescens",5.286442,6.161848915,18.00052937,3.143283279,191.5647626
"190",6,14.135,22.052,-0.033,20.3,11.47,"Betula pubescens",10.2908955,14.17433375,21.55657167,0.496987294,175.4606134
